Federico Fellini
Fran&ccedil;ois Truffaut
Pier Paolo Pasolini
Terry Gilliam
Alfred Hitchcock
Liliana Cavani
Carl Th. Dreyer
Michael Powell
Emeric Pressburger
Michelangelo Antonioni
Josef Von Sternberg
George Sluizer
Milo&scaron; Forman
Lynne Ramsay
Ronald Neame
Jean-Luc Godard
Samuel Fuller
David Cronenberg
John Cassavetes
Richard Linklater
G.W. Pabst
William Greaves
Robert Bresson
Sidney Gilliat
Mikio Naruse
Du&scaron;an Makavejev
Jim Jarmusch
Byron Haskin
Gus Van Sant
Terrence Malick
Monte Hellman
Guy Maddin
Peter Yates
Mateo Garrone
Steve McQueen
Leo McCarey
Sidney Lumet
Carol Reed
Nagisa Oshima
Nobuhiko Obayashi
Charles Laughton
Lars Von Trier
Charles Chaplin
Dennis Hopper
Jean Vigo
Bob Fosse
Robert Downey Sr.
Jean Renoir
Wim Wenders
Philip Kaufman
Henri-Georges Clouzot
Terry Zwigoff
Ingmar Bergman
Gillo Pontecorvo
Edward Yang
Andrei Tarkovsky
Krzysztof Kie&sacute;lowski
Louis Malle
Vittorio De Sica
Masaki Kobayashi
Aki Kaurism&auml;ki
Max Oph&uuml;ls
David Lean
Marcel Camus
Stanley Donen
Roman Polanski
Stanley Kubrick
Luchino Visconti
Delmer Daves
Franc Roddam
Nicolas Roeg
Alex Cox
William Cameron Menzies
Elia Kazan
Nicholas Ray
Jonathan Demme
Lindsay Anderson
Mike Leigh
Yasujiro Ozu
Akira Kurosawa
Peter Weir
Godfrey Reggio
Guillermo del Toro
Brian De Palma
Claude Chabrol
Jaromil Jire&scaron;
Ang Lee
Roberto Rossellini
Alfonso Cuar&oacute;n
Sergei Eisenstein
Les Blank
William Dieterle
Jules Dassin
John Schlesinger
Volker Schl&ouml;ndorff
Billy Wilder
Richard Lester
Georges Franju
Rainer Werner Fassbinder
Pietro Germi
Ernst Lubitsch
Jack Garfein
Alexander Mackendrick
Fritz Lang
Abbas Kiarostami
Haskell Wexler
Luis Bu&ntilde;uel
Catherine Breillat
Paul Bartel
Sydney Pollack
Chantal Akerman
Christopher Nolan
Wes Anderson
Laurence Olivier
Michael Mann
Ren&eacute; Clair
Jean-Pierre Gorin
Laurie Anderson
John Frankenheimer
Shohei Imamura
Todd Haynes
Costa-Gavras
Serge Bourguignon
Erle C. Kenton
Cornel Wilde
Yukio Mishima
Domoto Masaki
Paul Schrader
Teinosuke Kinugasa
Nobuo Nakagawa
Ken Loach
Lee Chang-dong
Gregory Nava
Takashi Murakami
James Ivory
Fred Newmeyer
Sam Taylor
Martin Rosen
Marie Nyrer&ouml;d
Eric Rohmer
Wong Kar-wai
Elio Petri
Michael Haneke
Richard Brooks
Hideo Gosha
Hiroshi Inagaki
Spike Lee
Jan Troell
Chris Marker
Victor Sj&ouml;str&ouml;m
Jacques Demy
Claire Denis
Michael Cimino
Agn&egrave;s Varda
Albert Maysles
David Maysles
Charlotte Zwerin
R&eacute;my Belvaux
Andr&eacute; Bonzel
Benoit Poelvoorde
Jean-Pierre Melville
Bob Rafelson
Seijun Suzuki
Jacques Tati
Francesco Rosi
Douglas Sirk
Satyajit Ray
Calude Lanzmann
Pierre Etaix
Robert Aldrich
Mark Rydell
Hiroshi Teshigahara
Robert Altman
Andrew Haigh
Mathieu Kassovitz
Joel Coen
Ethan Coen
Mira Nair
David Gordon Green
Gabriel Axel
John Ford
Stuart Cooper
Preston Sturges
Jack Clayton
John Lurie
Francis Ford Coppola
Ellen Hovde
Muffie Meyer
Lucrecia Martel
D. A. Pennebaker
Marlon Brando
Orson Welles
Al Reinert
Hal Ashby
John Huston
Noah Baumbach
Tony Richardson
Lawrence Kasdan
Bruce Beresford
David Lynch
Toshiya Fujita
Charles Vidor
Howard Hawks
Stephen Frears
Ermanno Olmi
Jane Campion
Luc Dardenne
Jean-Pierre Dardenne
Lena Dunham
Leonard Kastle
Juzo Itami
Robert M. Young
Michael Curtiz
Ettore Scola
Ted Wilde
Luis Garc&iacute;a Berlanga
Herk Harvey
King Hu
Mike Nichols
Paul Thomas Anderson
Alexander Payne
Whit Stillman
Nathan Kroll
James L. Brooks
Cristian Mungiu
Jean Cocteau
Jacques Tourneur
Jacques Audiard
The Beastie Boys
George A. Romero
David Byrne
Steven Soderbergh
Karel Reisz
Kaneto Shindo
Lewis Allen
John Waters
Pedro Almod&oacute;var
Barbara Loden
Irvin S. Yeaworth Jr.
Russ Meyer
