2,Seven Samurai,79,8,1954,165-seven-samurai
3,The Lady Vanishes,4,2,1938,358-the-lady-vanishes
4,Amarcord,0,0,1973,208-amarcord
5,The 400 Blows,1,1,1959,151-the-400-blows
6,Beauty and the Beast,225,1,1946,177-beauty-and-the-beast
10,Walkabout,70,2 17,1971,522-walkabout
14,Samurai I: Musashi Miyamoto,145,8,1954,529-samurai-i-musashi-miyamoto
17,Sal&ograve;&comma; or The 120 Days of Sodom,2,0,1976,532-sal-or-the-120-days-of-sodom
18,The Naked Kiss,16,3,1964,533-the-naked-kiss
19,Shock Corridor,16,3,1963,534-shock-corridor
24,High and Low,79,8,1963,543-high-and-low
29,Picnic at Hanging Rock,80,19,1975,565-picnic-at-hanging-rock
30,M,103,7,1931,588-m
31,Great Expectations,62,2,1946,566-great-expectations
36,The Wages of Fear,50,1,1953,370-the-wages-of-fear
37,Time Bandits,3,2,1981,232-time-bandits
38,Branded to Kill,162,8,1967,576-branded-to-kill
42,Fishing with John,184,3,1992,580-fishing-with-john
44,The Red Shoes,7 8,2,1948,233-the-red-shoes
45,Taste of Cherry,104,20,1997,242-taste-of-cherry
48,Black Orpheus,63,1,1948,344-black-orpheus
51,Brazil,3,2,1985,211-brazil
52,Yojimbo,79,8,1961,597-yojimbo
54,For All Mankind,192,3,1989,599-for-all-mankind
56,The 39 Steps,4,2,1935,234-the-39-steps
57,Charade,64,3,1963,603-charade
59,The Night Porter,5,0,1974,604-the-night-porter
62,The Passion of Joan of Arc,6,1,1928,228-the-passion-of-joan-of-arc
63,Carnival of Souls,216,3,1962,607-carnival-of-souls
65,Rushmore,112,3,1998,333-rushmore
71,The Magic Flute,52,12,1975,613-the-magic-flute
73,Cl&eacute;o from 5 to 7,153,1,1962,244-cl-o-from-5-to-7
82,Hamlet,113,2,1948,621-hamlet
84,Good Morning,78,8,1959,624-good-morning
86,Eisenstein: The Sound Years,89,14,1944,204-eisenstein-the-sound-years
89,Sisters,83,3,1973,377-sisters
93,Black Narcissus,7 8,2,1947,632-black-narcissus
96,Written on the Wind,165,3,1956,636-written-on-the-wind
97,Do the Right Thing,146,3,1989,286-do-the-right-thing
98,L&apos;avventura,9,0,1960,209-l-avventura
100,Beastie Boys Video Anthology,228,3,2000,638-beastie-boys-video-anthology
101,Cries and Whispers,52,12,1972,237-cries-and-whispers
102,The Discreet Charm of the Bourgeoisie,106,1,1972,310-the-discreet-charm-of-the-bourgeoisie
103,The Lady Eve,182,3,1941,639-the-lady-eve
105,Spartacus,66,3,1960,449-spartacus
107,Trouble in Paradise,100,3,1932,732-trouble-in-paradise
109,The Scarlet Empress,10,3,1934,431-the-scarlet-empress
118,Sullivan&apos;s Travels,182,3,1941,657-sullivan-s-travels
122,Salesman,154 155 156,3,1968,663-salesman
123,Grey Gardens,154 155 186 187,3,1976,664-grey-gardens
124,Carl Theodor Dreyer Box Set,6,11,1943,254-carl-theodor-dreyer-box-set
133,The Vanishing,11,1 4,1988,677-the-vanishing
138,Rashomon,79,8,1950,307-rashomon
139,Wild Strawberries,52,12,1957,175-wild-strawberries
140,8 1/2,0,0,1963,150-8-1-2
144,Loves of a Blonde,12,5,1965,246-loves-of-a-blonde
145,The Firemen&apos;s Ball,12,5,1967,688-the-firemen-s-ball
147,In the Mood for Love,140,27,2000,198-in-the-mood-for-love
149,Juliet of the Spirits,0,0,1965,689-juliet-of-the-spirits
152,George Washington,178,3,2000,691-george-washington
154,The Horse&apos;s Mouth,14,2,1958,695-the-horse-s-mouth
159,Red Beard,79,8,1965,713-red-beard
162,Ratcatcher,13,2,1999,716-ratcatcher
163,Hopscotch,14,3,1980,717-hopscotch
164,Solaris,55,14,1972,553-solaris
165,Man Bites Dog,157 158 159,1,1992,718-man-bites-dog
166,Down by Law,26,3,1986,719-down-by-law
171,Contempt,15,1,1963,236-contempt
173,The Life and Death of Colonel Blimp,7 8,2,1943,359-the-life-and-death-of-colonel-blimp
174,Band of Outsiders,15,1,1964,291-band-of-outsider
185,The Adventures of Antoine Doinel,1,1,1968,346-the-adventures-of-antoine-doinel
190,Throne of Blood,79,8,1957,735-throne-of-blood
192,Coup de gr&acirc;ce,94,7,1976,737-coup-de-gr-ce
194,Il posto,204,0,1961,364-il-posto
198,Ali: Fear Eats the Soul,98,7,1974,152-ali-fear-eats-the-soul
200,The Honeymoon Killers,209,3,1969,582-the-honeymoon-killers
201,Umberto D.,58,0,1952,371-umberto-d
204,The Marriage of Maria Braun,98,7,1978,592-the-marriage-of-maria-braun
208,A Film Trilogy by Ingmar Bergman,52,12,1962,89-a-film-trilogy-by-ingmar-bergman
214,The Devil and Daniel Webster,91,3,1941,622-the-devil-and-daniel-webster
216,The Rules of the Game,47,1,1939,295-the-rules-of-the-game
217,Tokyo Story,78,8,1953,284-tokyo-story
219,La strada,0,0,1954,185-la-strada
220,Naked Lunch,17,6,1991,634-naked-lunch
221,Ikiru,79,8,1952,353-ikiru
224,Pickup on South Street,16,3,1953,446-pickup-on-south-street
228,Salvatore Giuliano,164,0,1962,687-salvatore-giuliano
229,Scenes from a Marriage,52,12,1973,710-scenes-from-a-marriage
230,3 Women,172,3,1977,712-3-women
232,A Story of Floating Weeds / Floating Weeds,78,8,1959,368-a-story-of-floating-weeds-floating-weeds-two-films-by-yasujiro-ozu
234,The Tin Drum,94,7,1979,789-the-tin-drum
235,The Leopard,67,0,1963,790-the-leopard
238,A Woman Is a Woman,15,1,1961,854-a-woman-is-a-woman
241,Stage and Spectacle: Three Films,47,1,1953,540-stage-and-spectacle-three-films-by-jean-renoir
246,I vitelloni,0,0,1953,966-i-vitelloni
248,Videodrome,17,6,1983,240-videodrome
249,The Battle of Algiers,53,0,1966,248-the-battle-of-algiers
250,John Cassavetes: Five Films,18,3,1974,558-john-cassavetes-five-films
251,Shadows,18,3,1959,500-shadows
253,A Woman Under the Influence,18,3,1974,510-a-woman-under-the-influence
254,The Killing of a Chinese Bookie,18,3,1974,958-the-killing-of-a-chinese-bookie
259,Fat Girl,107,1,2001,548-fat-girl
260,Eyes Without a Face,97,1,1960,950-eyes-without-a-face
261,Fanny and Alexander Box Set,52,12,1982,206-fanny-and-alexander-box-set
275,Tout va bien,15 116,1,1972,929-tout-va-bien
276,The River,47,1,1951,679-the-river
277,My Own Private Idaho,28,3,1991,249-my-own-private-idaho
278,L&apos;eclisse,9,0,1962,928-l-eclisse
279,Young T&ouml;rless,94,7,1966,926-young-t-rless
281,Jules and Jim,1,1,1962,218-jules-and-jim
286,Divorce Italian Style,99,0,1961,877-divorce-italian-style
287,Burden on Dreams,90,3,1982,546-burden-of-dreams
297,Au hasard Balthazar,22,1,1966,455-au-hasard-balthazar
298,Gate of Flesh,162,8,1964,863-gate-of-flesh
301,An Angel at My Table,205,30,1990,742-an-angel-at-my-table
303,Bad Timing,70,2,1980,744-bad-timing
306,Le samoura&iuml;,160,1,1967,184-le-samoura
307,Naked,77,2,1993,220-naked
308,Masculin f&eacute;minin,15,1,1966,508-masculin-f-minin
314,Pickpocket,22,1,1959,229-pickpocket
315,Shoot the Piano Player,1,1,1960,764-shoot-the-piano-player
321,The Virgin Spring,52,12,1960,372-the-virgin-spring
323,The Children Are Watching Us,58,0,1944,772-the-children-are-watching-us
324,La b&ecirc;te humaine,47,1,1938,773-la-b-te-humaine
326,Metropolitan,221,3,1990,774-metropolitan
328,Murmur of the Heart,57,1,1971,775-murmur-of-the-heart
331,Late Spring,78,8,1949,298-late-spring
332,Viridiana,106,19,1961,373-viridiana
336,Dazed and Confused,19,3,1993,314-dazed-and-confused
339,Yi Yi,54,13,2000,781-yi-yi
342,Six Moral Tales,139,1,1970,417-six-moral-tales
352,Jigoku,129,8,1960,797-jigoku
353,S&oacute;lo con tu pareja,88,18,1991,798-s-lo-con-tu-pareja
356,Sweetie,205,30,1989,749-sweetie
358,Pandora&apos;s Box,20,7,1929,362-pandora-s-box
360,Symbiopsychotaxiplasm,21,3,1968,751-symbiopsychotaxiplasm
363,Mouchette,22,1,1967,456-mouchette
374,Bicycle Thieves,58,0,1948,210-bicycle-thieves
375,Green for Danger,23,2,1946,815-green-for-danger
377,When a Woman Ascends the Stairs,24,8,1960,816-when-a-woman-ascends-the-stairs
381,La haine,174,1,1995,216-la-haine
382,Overlord,181,2,1975,550-overlord
383,Brute Force,92,3,1947,820-brute-force
387,La Jet&eacute;e / Sans Soleil,148,1,1983,304-sans-soleil
389,WR: Mysteries of the Organism,25,9,1971,824-wr-mysteries-of-the-organism
391,If...,76,2,1968,825-if
396,Ace in the Hole,95,3,1951,829-ace-in-the-hole
397,Ivan&apos;s Childhood,55,14,1962,830-ivan-s-childhood
400,Stranger Than Paradise,26,3,1984,252-stranger-than-paradise
404,Robinson Crusoe on Mars,27,3,1964,821-robinson-crusoe-on-mars
406,Martha Graham: Dance on Film,222,3,1959,835-martha-graham-dance-on-film
407,Mala Noche,28,3,1985,253-mala-noche
408,Breathless,15,1,1960,268-breathless
409,Days of Heaven,29,3,1978,213-days-of-heavens
410,Under the Volcano,194,3,1984,837-under-the-volcano
411,Berlin Alexanderplatz,98,7,1980,839-berlin-alexanderplatz
414,Two-Lane Blacktop,30,3,1971,847-two-lane-blacktop
415,The Naked Prey,124,3,1966,848-the-naked-prey
417,This Sporting Life,76,2,1963,853-this-sporting-life
421,Pierrot le fou,15,1,1965,149-pierrot-le-fou
423,Walker,71,3,1987,526-walker
425,Antonio Gaud&iacute;,171,8,1984,536-antonio-gaud
426,The Ice Storm,86,3,1997,336-the-ice-storm
432,Mishima: A Life in Four Chapters,127,3,1985,588-mishima-a-life-in-four-chapters
433,Patriotism,125 126,8,1966,589-patriotism
437,Vampyr,6,11,1932,661-vampyr
440,Brand upon the Brain!,31,6,2006,746-brand-upon-the-brain
